Episodes     MeanReward      MeanSteps
    1000        806.000        189.000
    2000         29.100       1898.300
    3000        616.700        341.800
    4000         79.900       1805.600
    5000       1298.000        258.000
    6000        625.000        104.000
    7000        628.000         99.000
    8000        230.000         40.000
    9000        636.000        157.000
   10000        740.000        149.000
   11000        811.000        163.000
   12000        636.000        157.000
   13000       1207.600        187.700
   14000       1382.800        220.000
   15000        226.000         43.000
