Episodes     MeanReward      MeanSteps
    1000         -5.000       2005.000
    2000        227.000       1768.700
    3000        256.300       1840.900
    4000        229.000         40.000
    5000        636.000        157.000
    6000        629.000         99.000
    7000        308.300       1843.400
    8000       1046.000        182.000
    9000       1667.000        270.000
   10000        811.000        165.000
   11000       1049.000        161.000
   12000       1152.800        186.900
   13000       1314.000        200.000
   14000       1314.000        200.000
   15000       1319.000        204.000
