Episodes     MeanReward      MeanSteps
    1000        139.000       2005.000
    2000        636.000        157.000
    3000        628.000         99.000
    4000        822.000       1298.000
    5000       1047.000        162.000
    6000        231.000         40.000
    7000       1553.000        830.000
    8000       1133.000        178.000
    9000       1401.000        218.000
   10000       1034.000        176.000
   11000        231.000         40.000
   12000       1037.000        168.000
   13000        230.000         40.000
   14000       1675.000        265.000
   15000       1551.000        236.000
