Episodes     MeanReward      MeanSteps
    1000        231.000         40.000
    2000        811.000        163.000
    3000        636.000        156.000
    4000        626.000         98.000
    5000        231.000         40.000
    6000        563.000        428.000
    7000       1134.000        177.000
    8000       1128.000        184.000
    9000        812.000        159.000
   10000       2728.000       1969.000
   11000       2253.000        235.000
   12000       2938.000        918.000
   13000       1551.000        242.000
   14000       2337.000        381.000
   15000        231.000         40.000
